question,answer,group,bm25_text
What is fishing?,"A phishing attack is a fraudulent or fake email, sent to ask you to take an action, which may result in:

- your personal information being provided to an attacker for misuse
- an attacker installing malware or other viruses on your computer.",3.0,what is fishing
How do I know if my password is secure?,"We’ll alert you if your password has been compromised. When you log into UC applications such as MyUC and Canvas, the University links to a feature which automatically scans your passwords to check if they're vulnerable to cyber security breaches. If we suspect your password isn’t secure, you'll receive a pop-up notification from us. You should then change your password immediately in order to protect your information.

Rest assured that this password checking process is completely safe and your password won't be exposed to anyone either inside or outside UC.",4.0,how do i know if my password is secure
Why have I been locked out of my account?,"If you have entered your password incorrectly 10 times, your account will be locked for 15 minutes. However, if you use the Self-Service Password Reset [Tool](https://passwordreset.canberra.edu.au/), you can unlock your account immediately.",5.0,why have i been locked out of my account
I am unable to access my account,"If you have entered your password incorrectly 10 times, your account will be locked for 15 minutes. However, if you use the Self-Service Password Reset [Tool](https://passwordreset.canberra.edu.au/), you can unlock your account immediately.",5.0,i am unable to access my account
What might have caused my account to become locked?,"If you have entered your password incorrectly 10 times, your account will be locked for 15 minutes. However, if you use the Self-Service Password Reset [Tool](https://passwordreset.canberra.edu.au/), you can unlock your account immediately.",5.0,what might have caused my account to become locked
Why has the University of Canberra implemented MFA?,"The University of Canberra has implemented MFA for all student accounts to address the threat of cyber-attack.

With the implementation of MFA for students now complete, the entire University of Canberra user environment is protected, aligning to security best practice and making our systems more secure.",,why has the university of canberra implemented mfa
How does MFA work?,"MFA is the same as being asked to provide two (or more) forms of ID to verify who you are. It’s the principle of providing more than just your password (something you know) which may have been stolen or guessed, by combining it with another factor of proof, such as something you are (biometric) or something you have (like your smartphone).

When logging into your University of Canberra account, you may be prompted to verify your identity via an Authenticator Application (such as Microsoft Authenticator) installed on your smartphone or tablet.

This verification process on your smartphone/tablet is in addition to your username and password on your device that you use to access University applications.

Neither the Microsoft Authentication application or the University will have any access to any personal information (such as bank details, passwords, photos, messages, calls or browsing history) on your smartphone/tablet.",,how does mfa work
What is MFA?,"MFA is the same as being asked to provide two (or more) forms of ID to verify who you are. It’s the principle of providing more than just your password (something you know) which may have been stolen or guessed, by combining it with another factor of proof, such as something you are (biometric) or something you have (like your smartphone).

When logging into your University of Canberra account, you may be prompted to verify your identity via an Authenticator Application (such as Microsoft Authenticator) installed on your smartphone or tablet.

This verification process on your smartphone/tablet is in addition to your username and password on your device that you use to access University applications.

Neither the Microsoft Authentication application or the University will have any access to any personal information (such as bank details, passwords, photos, messages, calls or browsing history) on your smartphone/tablet.",,what is mfa
Is MFA applied for all staff and students at UC?,"Yes, the staff environment has had MFA in place since mid-2020.

With the student environment also using MFA, all University of Canberra users are protected with MFA.",,is mfa applied for all staff and students at uc
What are the requirements for MFA?,"A device to access the University of Canberra environment, like a desktop computer or a laptop.
A smartphone* or tablet
For Apple devices, the Microsoft Authenticator app requires iOS 11.0 or above. For Android devices, the Microsoft Authenticator app requires 6.0 or above.

* For those who do not have a smartphone or tablet, please contact the Service Desk for options.",,what are the requirements for mfa
What if I don't have a smartphone or tablet to use the Microsoft Authenticator app?,Contact the Service Desk (servicedesk@canberra.edu.au or 6201 5500) for assistance.,,what if i don t have a smartphone or tablet to use the microsoft authenticator app
Can I setup another device for MFA as a backup?,"If you have another device, we strongly encourage you to set it up as your backup authentication method in case your primary authentication method is not available to you. Having a backup device will allow you to use MFA on another phone or tablet and will ensure you are able to access your applications and systems. You can add an additional device by navigating to the MFA Setup.",,can i setup another device for mfa as a backup
How often will I be prompted for MFA?,"It depends on your access circumstance. Change of location, laptop, or PC may trigger an MFA challenge. If you are accessing from the same location and device, then you may not be asked every time. You will not be prompted when using UC student computers in labs, the library, or building 1.",,how often will i be prompted for mfa
"If I change my University of Canberra password,will MFA still work?","Yes, MFA will work regardless. There is no action required from you.",,if i change my university of canberra password will mfa still work
When will I be prompted to authenticate?,"Core University systems will prompt you for MFA. If you use your UC student account to access Microsoft services/applications (Word, Outlook, Visual Studio), or cloud/online applications, you may be prompted for MFA.

When logging in from student computer labs, you may not get prompted for MFA as there are other security measures keeping things safe.",,when will i be prompted to authenticate
Can I use an alternate authenticator app instead of Microsoft Authenticator?,"Microsoft Authenticator is the supported authenticator app used by the University.  If you choose to use an alternate app, be mindful that the University support teams may not have experience with them and may be unable to provide assistance to you.

Please be careful when downloading and using a different authenticator App.  The Microsoft Authenticator App will never ask you for personal information or credit card details.  There is no charge to use this authenticator.  Ensure that the app you are downloading is published/developed by the Microsoft Corporation.",,can i use an alternate authenticator app instead of microsoft authenticator
What is a unit?,"At some universities a unit may be called a subject, at others it may be called a course. A unit is the basic module for teaching and learning at the University of Canberra. Learners study units in a sequence to make up (say) a major sequence, or a minor sequence. They also may take ‘electives’ and together all these will make up their ‘course’ which results in their degree.

Units at the University of Canberra can be at one of three levels:

Level 1 is usually an introductory unit – so if a subject area is new to you a Level 1 unit is a good place to start.

Level 2 units sometimes have pre-requisites or co-requisites. As you are auditing a unit you don’t need to worry about these, but if you don’t have existing knowledge of the subject area it may make it more difficult for you to engage with the unit content.

Level 3 units are those generally undertaken in the third year of a course and assume students have developed a range of skills to support their success in university study. You can also audit post-graduate units. Although these units are offered at the post-graduate level and will assume competency in university study skills, the subject matter may be introductory as some post-graduate courses are designed for people changing careers, up-skilling or re-skilling.",,what is a unit
How can I find a thesis that was written at UC?,"

 UC theses are shelved on Level C, and may be borrowed. We keep PhD, Masters, and some Honours theses.
 



 Theses are arranged by
 **degree type** 
 ,
 **year completed** 
 , and the
 **author's name** 
 .
 



 You can also find recent theses online in the University of Canberra Research Portal, and links at included on each thesis in the Library catalogue.
 



",,how can i find a thesis that was written at uc
Where are the children's books?,"

 Children's books for loan are located in two separate collections:
 


* Level B (Ground Level) at the back right of the library is a picture book collection.
* Level C contains the main collection of children books.



 Level B
 **picture book** 
 collection, is a children's space also containing STEM toys and puzzles.
 







 Level C
 **children's literature** 
 have
 **'ch lit'** 
 at the beginning of their call number and are filed in categories.
 



 For example:
 



**PE1155** 
 - alphabet books, 'A is for Apple'
 



**PZ7** 
 - novels and story books, sorted by author and then book title
 



**PZ8** 
 - fairytales
 



**PZ8.3** 
 - poetry books and stories in rhyme
 



**PZ8.9** 
 - board books for infants
 



**PZ10.7** 
 - Aboriginal legends
 



**Q126.4** 
 - 'Good Science' collection
 



**QA141.3** 
 - easy mathematics, counting books
 



 Children's information books are filed by subject call number, e.g. DU - Australian history, B - Religion, R - Health
 







 The
 [National Centre for Australian Children’s Literature](http://www.canberra.edu.au/national-centre-for-australian-childrens-literature) 
 is an archive of Australian children's books. This collection can only be used for research purposes.
 



",,where are the children s books
Library Borrower Authorisation Form,"





 The University of Canberra staff and students can nominate a proxy person to borrow library materials on their behalf.
   

  

[Library Borrower Authorisation Form](https://www.canberra.edu.au/library/forms/library-borrower-authorisation) 
 must be completed before this can be arranged.
   

  

 This is valid for one year, from date of authorisation or at the expiry of the membership, whichever, comes first.
   

  

 The Proxy should produce a valid proof of ID in order to borrrow on behalf of the student / staff.
   

  

 The
 
 Library Borrower
 
 Authorisation can be canceled at any time by e-mailing
 [LibraryLoans@canberra.edu.au](LibraryLoans@canberra.edu.au?subject=Library%20Borrower%20Authorisation%20Form%20) 




  

 For more information, please
 [contact the Library](https://www.canberra.edu.au/library/contact_us) 
 .
 



",,library borrower authorisation form
How can I find a book the Library doesn't have?,"

 You can search the National Library's
 [Trove](http://trove.nla.gov.au/?q=) 
 database to see if the book you need is held at another library within Australia.
 



 If you want to request the book,
 [Document Services](http://www.canberra.edu.au/library/services/document-delivery-and-interlibrary-loans) 
 (via UC Library) can borrow the book on your behalf.  There are no limits to the number of requests you can make and there is no direct cost to UC staff and students.
 



",,how can i find a book the library doesn t have
"Study Skills Learning Advisors run drop-in sessions to support you with a range of study skills. In these sessions, we can assist with:

Understanding assessment task requirements
Assignment writing and structure
Feedback on assignment drafts
Finding journal articles and other information resources
Avoiding plagiarism and referencing
Time management, study planning and exam preparation. Study Skills also offers specialist drop-in sessions for:

English Language Help
Referencing Help
","

 You can check and extend your library loans:
 


* Click
 [sign in](http://canberra.primo.exlibrisgroup.com/discovery/account?vid=61ARL_CNB:61ARL_CNB&section=overview&lang=en) 
 on the Library Catalogue (Library Search) or use the link from the
 [Library homepage](https://www.canberra.edu.au/library) 
 banner:
	+ UC Staff and Students - login with your username and password.
	+ Alumni and community borrowers - login with your barcode and password
* by phone (6201 2953) or in person at the Library Service Desk.



 Please note that some loans cannot be extended:
 


* 3 hour loans (items in high demand)
* Any item with a hold request
* Overdue items must be presented to Library Service Desk staff.



",,study skills learning advisors run drop-in sessions to support you with a range of study skills in these sessions we can assist with understanding assessment task requirements assignment writing and structure feedback on assignment drafts finding journal articles and other information resources avoiding plagiarism and referencing time management study planning and exam preparation study skills also offers specialist drop-in sessions for english language help referencing help
Can I renew a book after the due date?,"

 If an item is only a few days overdue, and it has not reached its maximum allowed renewals, it may be renewed at the library service desk, or by calling (02) 6201 2953, or by emailing
 [loans@canberra.edu.au](http://mailto:loans@canberra.edu.au) 




 Items that have a hold on them, or are more than one week overdue, must be returned to the library.
 



 3 hour loans cannot be renewed.
 



",,can i renew a book after the due date
